depth [m],radius [mm]
25.21996814,0.560938248
51.25643061,0.868741024
65.03405866,1.072570608
99.79501996,1.456869315
159.0279721,2.004499761
179.286167,2.319195787
200.138176,2.172809957
219.3058085,2.89995213
240.3633685,2.631498325
262.2716814,3.558736237
277.8250418,3.436381044
301.9944159,3.064719962
319.8373863,3.560651029
337.3434815,2.114217329
360.1482251,3.016562949
374.9536083,4.240976544
374.9536083,4.240976544
375.2333861,4.101962662
376.0612999,4.411393011
380.8061026,4.817903303
399.6654086,4.823551939
416.8745967,4.610435615
443.4477758,3.140162757
459.623499,4.077932025
460.8168369,4.814552417
480.292796,3.296409765
480.6867688,3.141215893
480.8809003,4.200478698
499.5061066,4.321972236
520.4266326,3.006318813
539.8569137,4.66740067
558.6648319,3.857826711
579.9336527,5.826232647
601.0540199,4.981235041
601.5393487,4.217807563
637.7734257,5.01388224
638.0532035,7.151651508
651.1399517,3.670177118
657.1580288,5.912781235
658.5626274,6.248635711
682.3323189,3.3255146
699.7813166,2.357300144
702.173702,1.777501197
725.657906,1.859932982
744.7398923,1.865485878
776.1606495,2.40938248
788.8362957,3.027668741
802.402663,4.942651987
818.8524543,4.878889421
848.0863771,6.488750598
885.2568531,10.61196745
914.3480321,12.22106271
935.6568212,10.16668262