depth [m],acid [mol/L],conductivity [S/m],sscl [mol/L]
150,2.12644543750461e-06,1.85784083078665e-06,3.92068372211096e-07
160,1.20356251523937e-06,1.1626729284085e-06,2.98987391758102e-07
170,1.65134892168205e-06,1.51432795166128e-06,3.89247736439794e-07
180,1.24687305706936e-06,1.20460920403719e-06,2.93346120215497e-07
207,1.70856661226925e-06,1.57330639279078e-06,3.21552477928525e-07
217,1.28067885913866e-06,1.25498565734348e-06,3.41296928327645e-07
247,1.26593176674018e-06,1.24975730712643e-06,2.46805629989e-07
270,1.90797038905763e-06,1.75819256624674e-06,2.0788085634502e-07
280,6.30079966962389e-07,8.02830928020907e-07,5.18996981919725e-07
290,5.94248192681969e-07,7.87314436382183e-07,5.92333511973599e-07
309,1.26947035301659e-06,1.30313561959736e-06,3.72323921811976e-07
322,8.86252036161957e-07,1.04301014612393e-06,6.8259385665529e-07
330,6.29921137774784e-07,8.25092734860953e-07,5.21817617691028e-07
360,1.94118434164966e-06,2.32684591258398e-06,4.25916001466731e-06
374,2.17718748934045e-06,2.58137088805522e-06,4.68225538036273e-06
380,7.70562939616872e-07,1.60269583408509e-06,6.00795419287507e-06
409,1.33093801508724e-06,1.93775571396589e-06,4.76687445350182e-06
431,1.66240249749888e-07,1.26019869241133e-06,6.99517671283107e-06
464,0,8.50902598803951e-07,4.56942994951062e-06
483,1.51743045596253e-06,2.25647621336646e-06,5.52844611175359e-06
503,1.51139537006236e-06,1.866774486974e-06,2.20291653738753e-06
513,1.05935450698878e-06,1.70776263418629e-06,3.97709643753702e-06
531,1.28043427874381e-06,1.93104649473499e-06,4.11812822610216e-06
544,9.82503955563953e-07,1.6757044463575e-06,4.03350915296308e-06
567,1.98864993821123e-07,9.41721004483786e-07,3.46938199870251e-06
586,1.83491344486348e-06,2.35507813783919e-06,3.18731842157222e-06
598,2.96920158933901e-07,1.11797091797637e-06,4.03350915296308e-06
609,8.02388785553195e-07,1.7137476999782e-06,5.13355710377119e-06
619,1.26195822718172e-06,2.11805416990405e-06,5.02073167291908e-06
635,4.55729965567901e-07,1.47775375937489e-06,5.52844611175359e-06
665,2.21243031680841e-07,8.04601697701814e-07,1.79392435054861e-06
680,2.17444195294948e-06,2.82800141581153e-06,3.55400107184159e-06
697,3.19488112286628e-06,3.96258149677935e-06,4.8514935266409e-06
707,2.39112845533818e-06,3.09747581741918e-06,3.77965193354582e-06
718,2.7868999457221e-06,3.57230652497166e-06,4.45660451865851e-06
745,9.80170885615289e-07,1.71881130875138e-06,2.93346120215497e-06
760,1.79737053764265e-06,2.39263974525626e-06,2.09009110653541e-06
780,2.48808327288925e-07,8.39727765337558e-07,1.33980199136885e-06
815,0,8.46208763038884e-07,2.96166755986799e-06
828,0,6.174339751568e-07,1.25236228245847e-06
840,1.25734814319559e-06,1.84017859893332e-06,1.13953685160635e-06
867,2.2881380970437e-06,3.13002160455084e-06,2.82063577130285e-06
877,1.00660583992512e-06,2.03135211235036e-06,3.94889007982399e-06
891,1.21943765372742e-06,2.20599869354991e-06,3.55400107184159e-06
907,1.09651545034775e-06,2.19674707325067e-06,4.20274729924125e-06
934,1.09119233832358e-06,2.25247494504216e-06,4.37198544551942e-06
953,1.16463255700018e-06,2.36689491399195e-06,4.45660451865851e-06
967,2.30947357578325e-06,3.71300675285652e-06,5.38741432318845e-06
983,1.35700309299522e-06,2.33911509517994e-06,2.61472935999774e-06
1012,1.84760485382587e-06,2.73509131663671e-06,1.49775759456181e-06
1020,0,9.33801152987463e-07,2.50190392914563e-06
1037,4.1099902556189e-06,5.32601917317904e-06,2.28753561052661e-06
1068,9.52310210899308e-07,1.82404232918917e-06,1.27774800440019e-06
1083,5.42607304212788e-07,1.52381682648593e-06,2.10701492116323e-06
1097,1.86536976275699e-06,2.93265408594139e-06,1.66135446929738e-06
1131,4.98377306590165e-07,1.33437602811091e-06,8.57473274476067e-07
1158,6.52175478121606e-07,1.52758689171627e-06,7.72854201336981e-07
1181,1.4129491612736e-06,2.46500625364537e-06,9.5901616224297e-07
1193,1.59370603422087e-06,2.7179987517375e-06,1.0915860434942e-06
1220,0,8.57330427742407e-07,8.51832002933461e-07
1243,1.4966827410442e-06,2.59295231476528e-06,4.45660451865851e-07
1270,1.14857551925609e-06,2.40942822075464e-06,1.51750204496093e-06
1308,1.12997349413174e-06,2.30620031839591e-06,6.31822412771839e-07
1317,0,1.1947449993267e-06,2.1775308154458e-06
1333,1.10772905766529e-06,2.27646553727023e-06,3.49758835641554e-07
1345,1.15247285047269e-06,2.42286495164256e-06,7.27724028996136e-07
1368,1.76420303393702e-06,3.22974554759639e-06,6.2336050545793e-07
1370,9.40418473462171e-07,2.24563686245961e-06,9.56195526471667e-07
1381,1.9006059785116e-06,3.47129857139082e-06,8.12343102135221e-07
1389,1.10477950859378e-06,2.4815803967742e-06,8.82858996417793e-07
1413,1.239137744508e-06,2.79226518405537e-06,1.34262262714016e-06
1459,9.2425292113502e-07,2.41225041564765e-06,9.67478069556878e-07
1485,6.73868891831982e-07,2.07165115294727e-06,6.54387498942262e-07
1507,1.64905914251454e-07,1.64434738080559e-06,1.82777197980425e-06
1518,1.43749754405647e-06,3.47646211603203e-06,2.09573237807802e-06
1531,3.24596520455922e-07,1.82291648143402e-06,1.36800834908188e-06
1567,2.66697241202859e-06,5.2958472087636e-06,1.69238146278171e-06
1579,1.64710748827053e-06,3.82564013150432e-06,1.39903534256621e-06
1593,9.59735750946868e-06,1.52216217261743e-05,7.36185936310044e-07
1631,1.18862674640482e-06,3.09170041536532e-06,2.63165317462556e-07
1637,1.48076287031631e-06,3.56460942591303e-06,3.66682650269371e-07
1645,1.38866138659496e-06,3.46541788360217e-06,4.20274729924125e-07
1683,3.43523676092848e-06,6.78545487645902e-06,7.65238543798294e-07
1711,2.91788790396206e-06,6.11317407282463e-06,6.58764680295781e-07
1730,2.48273969522754e-06,5.48243914907567e-06,4.42892561983471e-07
1739,2.26723213748055e-06,5.29018591030495e-06,9.17203131796433e-07
1740,2.26048889661972e-06,5.2942665439675e-06,9.62809917355372e-07
1762,2.83104346812489e-06,6.23698731717051e-06,6.28360156589822e-07
1768,3.37562656466827e-06,7.1669788593958e-06,7.34775989560679e-07
1815,2.34961204355601e-06,5.71298659783782e-06,5.37146585471944e-07
1825,2.3178716745464e-06,5.66147263553656e-06,3.12659852109613e-07
1832,2.53155581235925e-06,6.07466048754622e-06,3.95258808177468e-07
1872,1.7301628870053e-06,4.92809128522644e-06,3.94889007982399e-07
1883,1.60493090684862e-06,4.75294746292003e-06,3.38476292556342e-07
1900,1.88891042430785e-06,5.32167619197449e-06,2.93346120215497e-07
1910,1.01996742037289e-06,3.92484723946559e-06,5.97974783516205e-07
1931,2.64515063706974e-07,3.25206966383041e-06,2.93346120215497e-06
1935,1.84566582907311e-06,6.53456099022663e-06,4.73866809578879e-06
1957,6.13374669698206e-06,1.44313556605811e-05,4.73803827751196e-06
1971,4.75688716629086e-07,4.17735284055209e-06,4.40019180323245e-06
1982,2.32416781648847e-06,8.0809763058116e-06,6.17719233915325e-06
1995,1.77045438939604e-06,6.84918190784808e-06,4.99252531520605e-06
2007,3.14816562029805e-06,8.58300982609778e-06,1.41313852142273e-06
2020,1.2623030688641e-06,5.97614233338662e-06,4.65404902264971e-06
2038,1.76122428408731e-06,7.02802210066432e-06,4.59763630722365e-06
2054,2.00326091567908e-06,7.60876562753557e-06,4.59763630722365e-06
2094.9,1.66550923249928e-06,6.77403240462455e-06,2.8220460891885e-06
2108,2.25893086071779e-06,8.26538707077334e-06,3.58220742955462e-06
2116,0,3.64730420836293e-06,3.04628663300708e-06
2124,7.20976560979792e-07,5.46717585131257e-06,4.20274729924125e-06
2134,0,3.80898708324757e-06,3.27757876625391e-06
2146,1.13423639987182e-06,5.69800298981593e-06,1.49493695879051e-06
2155,1.30263048099501e-06,6.41371769637318e-06,2.57806109497081e-06
2164,2.36234555835998e-06,8.72208103991002e-06,2.73319606239246e-06
2173,1.43385946232703e-06,6.98023745089442e-06,3.13090570614617e-06
2183,8.47772149239872e-07,5.7967590028199e-06,3.01808027529405e-06
2193,2.60339489004294e-06,9.37021362567724e-06,2.28471497475531e-06
2202,1.79479483003685e-06,8.53596517144497e-06,5.02073167291908e-06
2207.3,1.31476374566286e-06,6.83746787917733e-06,2.55521394522325e-06
2225,9.89545894252385e-07,6.0985853445349e-06,1.94623868219897e-06
2235.1,1.21816960580674e-06,6.36579134067814e-06,9.12193608439342e-07
2244,1.11101981102478e-06,6.42913868401436e-06,1.66981637661129e-06
2255,3.74136976649266e-06,1.27269338350752e-05,3.01808027529405e-06
2267,1.82190335976021e-06,8.0405612446434e-06,1.15335796688574e-06
2279,4.73905302162887e-07,5.40337957147405e-06,2.03931966265196e-06
2289,7.87944669976056e-07,6.05079942517654e-06,1.58914619355203e-06
2302,6.31985594390658e-07,6.23027968818848e-06,2.96166755986799e-06
2316,2.97354598885403e-06,1.14802060497278e-05,2.15158096634982e-06
2324,5.94329642511734e-07,5.90082293858671e-06,1.60212111810002e-06
2333,1.14538081801439e-06,7.52499200506804e-06,2.44126026006262e-06
2343,1.94519448942628e-06,9.67287057981343e-06,2.99974614278058e-06
2354,2.49381981158538e-06,1.08689564131286e-05,2.31292133246834e-06
2364,3.62834823520541e-07,5.98035143541833e-06,2.4858263052492e-06
2373,1.17935959744286e-06,8.49979569997966e-06,3.97709643753702e-06
2380,7.61275757482212e-07,7.02866468202559e-06,2.32702451132485e-06
2392,1.66767503561523e-06,9.22525796770699e-06,1.97162440414069e-06
2392,1.47799168143335e-06,8.36616035246514e-06,7.62699912560291e-07
2400,1.12284599633039e-06,7.6515886609911e-06,9.5901616224297e-07
2416,7.04471510059933e-06,2.24904798228573e-05,1.18918004118128e-06
2430,1.01451660342288e-06,7.66180766501833e-06,8.58601528784588e-07
2449,2.33059151137459e-06,1.17047788284681e-05,2.38061659097961e-06
2464,3.13968410421937e-06,1.32504685221454e-05,2.94474428373845e-07
2485,2.40086715581339e-06,1.19122197620457e-05,1.02109310769209e-06
2502,2.65369824156918e-06,1.28032996867855e-05,9.83079599826011e-07
2512,1.48747787177127e-06,9.52822884571029e-06,0
2525,3.77208030309245e-06,1.59374840748245e-05,4.62584266493668e-07
2530.285,2.48280263769869e-06,1.25947510649336e-05,4.81818181818182e-07
2536.075,3.64923702851237e-06,1.57417711051866e-05,2.99266634699461e-07
2542.145,2.36341743724229e-06,1.24369758176247e-05,4.36190073118886e-07
2548.615,2.92415999789407e-06,1.38920280246067e-05,0
2554.605,1.56869230637277e-06,1.05373043838666e-05,6.17496742165684e-07
2561.075,1.80124260722361e-06,1.11735003472129e-05,3.75095816997151e-07
2567.605,2.27236331269508e-06,1.25698129326576e-05,4.01128254308521e-07
2572.625,2.50887520634025e-06,1.32720229937479e-05,3.28762474261699e-07
2578.575,2.71502391403368e-06,1.39436208999549e-05,3.43884606565363e-07
2584.184,2.97163922258992e-06,1.46201271914491e-05,0
2590.315,2.47658663550844e-06,1.34734388136068e-05,3.33174217237396e-07
2597.45,2.22722674148596e-06,1.30381722650088e-05,7.14168053479254e-07
2603.465,3.11569517073162e-06,1.58144692699294e-05,1.19114282296651e-06
2609.685,2.35046841976302e-06,1.35315928067515e-05,5.69889713141342e-07
2616.6,3.18260666246516e-06,1.59748329500879e-05,4.83386084285872e-07
2629.075,1.2640719051743e-06,1.07013454630174e-05,4.37793698699687e-07
2633.565,1.64934157139377e-06,1.19459660664919e-05,6.21137844470144e-07
2640.475,7.19240794633212e-07,9.46287997732563e-06,8.46760274165797e-07
2646.565,3.28049162792192e-07,8.39043034489494e-06,7.76114856288607e-07
2653.635,1.31670146653665e-06,1.17068344131149e-05,1.64151693791781e-06
2659.195,9.26863575199382e-07,1.03248681060626e-05,7.97125772149042e-07
2663.565,7.90094656451706e-07,1.06015923915627e-05,2.34010379939638e-06
2671.465,1.4062061357134e-06,1.19372833359608e-05,8.2102219840352e-07
2679.475,1.38916150625133e-06,1.19242324330318e-05,5.80154006713113e-07
2687.635,1.49069956389239e-06,1.29004143790997e-05,1.91377316447127e-06
2694.175,2.55814514844145e-06,1.5854411352236e-05,1.02565086170423e-06
2699.575,1.64200783805171e-06,1.3223169303876e-05,1.06838631427524e-06
2704.595,2.87517306675593e-06,1.7115016042799e-05,1.26578850872987e-06
2711.375,1.15495384637228e-06,1.16550964725902e-05,3.24989187266024e-07
2717.605,1.14354203797124e-06,1.18389432640118e-05,5.9945843793191e-07
2726.585,2.18828081915682e-06,1.49489353357989e-05,0
2732.575,2.82944980149836e-06,1.72320646538248e-05,4.62252907289501e-07
2750.515,3.36008953675246e-06,1.90815557418912e-05,0
2752.175,2.74100309902907e-06,1.71875668916801e-05,0
2758.04,2.69697842577021e-06,1.7395696225601e-05,5.17982549823836e-07
2761.075,2.68278530098209e-06,1.7198943666788e-05,0
2762,2.24349050891586e-06,1.60233598568503e-05,4.37382633802305e-07
2764.74,2.74697559614198e-06,1.7721188863279e-05,5.6652645139191e-07
2767.135,2.45586261307029e-06,1.66159493468723e-05,0
2768,1.77463422279364e-06,1.46896964675085e-05,4.83739034778439e-07
2771,1.9109335944091e-06,1.51501747550103e-05,4.10402504724565e-07
2773.04,1.794355038782e-06,1.4815286443824e-05,3.92751191718613e-07
2777,1.87248806089193e-06,1.52871352110963e-05,7.27724028996136e-07
2777,1.82610369785702e-06,1.5134978969054e-05,7.16441485910924e-07
2777.165,2.26141350526108e-06,1.62153347948098e-05,0
2780,1.46136033144812e-06,1.41621571926113e-05,1.01176205116633e-06
2782.04,1.38840701679001e-06,1.40396327907262e-05,1.17353163343018e-06
2785.365,1.60686975443773e-06,1.4662010790435e-05,8.43011874876597e-07
2786,1.69000103779781e-06,1.48626999667504e-05,6.61439088370519e-07
2789,2.20481673362699e-06,1.67410526876599e-05,1.05040476123318e-06
2791.04,3.55212918356593e-06,2.08514265238998e-05,4.54890717361466e-07
2794.04,3.61642244324725e-06,2.25558092590065e-05,3.74973416702914e-06
2794,1.98961828064332e-06,1.70491980116595e-05,3.11144331932418e-06
2794,1.89920771249721e-06,1.65784917273673e-05,2.69455335232561e-06
2797.365,2.65236966753814e-06,1.89159636118761e-05,2.31759230530562e-06
2798,3.06758430592794e-06,2.07017362415709e-05,3.3156573491665e-06
2803.04,2.90463840868302e-06,2.09243686207594e-05,4.75295142865202e-06
2807,1.59067838733673e-06,1.67200506037284e-05,4.65997235776944e-06
2807.365,2.47807555181589e-06,1.880113173368e-05,2.80855216765859e-06
2812,2.25388956132482e-06,1.83511428700647e-05,3.19803683750317e-06
2815.07,3.02210577141062e-06,2.1278976557769e-05,3.9958098554154e-06
2821.365,1.49094813490175e-06,1.54583364339426e-05,1.80394042817251e-06
2822,2.17045152113572e-06,1.77870386482651e-05,2.0015231433165e-06
2824.04,2.90567337536633e-06,2.08008850699423e-05,3.25444955292923e-06
2826,2.14044984967181e-06,1.79268581895386e-05,2.33012721067329e-06
2827.615,2.25941416494913e-06,1.82788694322284e-05,2.15412235917976e-06
2831,3.11908238880333e-06,2.13624647976082e-05,2.52861835166958e-06
2833.03,1.86228298446472e-06,1.77294128883579e-05,3.58239852762813e-06
2836.365,2.18990346262835e-06,1.85519021162808e-05,2.81396496770372e-06
2837,1.38585310437708e-06,1.61571458635931e-05,3.3864553070262e-06
2840,1.55795181359023e-06,1.62985500355741e-05,2.26892241284946e-06
2842.04,1.82407082843243e-06,1.71769220786294e-05,2.15005782303331e-06
2846,1.65760159326216e-06,1.6319664426491e-05,1.2675937156235e-06
2848.365,2.41118114472103e-06,1.92665533284642e-05,2.10535920796548e-06
2849,2.30666399914576e-06,1.94859378660507e-05,3.33906862606832e-06
2854.04,2.74706479213558e-06,2.1587451528704e-05,4.44547702592164e-06
2857.475,2.53661574481291e-06,2.04859663625925e-05,3.36831861901673e-06
2858,2.88292992721829e-06,2.18850422633088e-05,3.85750148083378e-06
2861,1.19351425100985e-06,1.59609188152814e-05,3.17095873409867e-06
2864.96,2.20600521584706e-06,2.03443365790029e-05,5.09246337404451e-06
2868,1.84564914220812e-06,1.87966091139287e-05,4.19823428200716e-06
2868.525,2.23702985093249e-06,1.95353921838971e-05,2.87549713705469e-06
2871,1.09733038563934e-06,1.65145938203332e-05,4.6018672608806e-06
2874.31,2.23259776142976e-06,2.05771701784866e-05,4.86992071192847e-06
2879.795,1.75071067701618e-06,1.82145151137916e-05,2.98806871068739e-06
2880,1.74370565741774e-06,1.88903425226767e-05,4.50624770823344e-06
2884.04,2.25643832352494e-06,2.09295486707801e-05,4.89983922376104e-06
2888.635,1.27635796238468e-06,1.66719603870077e-05,2.701887005331e-06
2893.14,2.48626195849816e-06,2.0802649618812e-05,2.37959306687727e-06
2899.295,1.71535992516435e-06,1.82655461455079e-05,2.30900629001777e-06
2900,2.30124420643024e-06,2.05941227858057e-05,2.91456294248724e-06
2903.54,2.22889129742471e-06,2.01844439550595e-05,2.36985586551209e-06
2909.795,1.30635423667942e-06,1.64229752184135e-05,8.49155219586495e-07
2910,2.4404737862451e-06,2.06935554451681e-05,1.50932220122416e-06
2914.04,2.30245571737754e-06,2.04708823221505e-05,1.83077877753646e-06
2918.635,1.58297404469631e-06,1.77153889846943e-05,1.0754181592531e-06
2919,2.40195065150511e-06,2.06687666963902e-05,1.22048909824274e-06
2924.53,2.32666455827152e-06,2.05049832801365e-05,1.11311313570079e-06
2929.4,3.0001927991993e-06,2.28244503156277e-05,6.95574422474826e-07
2930,1.75801199556282e-06,1.85568839773265e-05,9.30527740952811e-07
2933.04,1.63092126897383e-06,1.81193683528671e-05,7.90088285899642e-07
2939.785,1.688866481756e-06,1.86857729688302e-05,1.17628973570643e-06
2940,9.57851647347435e-07,1.62074613032918e-05,1.4314726539362e-06
2944.04,2.63693533182568e-06,2.3011008156764e-05,2.89984221363495e-06
2948.66,2.27352038540089e-06,2.15601951575639e-05,2.30565537472146e-06
2951,2.13730496905963e-06,2.10124453232021e-05,2.04383267988605e-06
2954.54,2.36360917199211e-06,2.21195140319753e-05,2.44200944912983e-06
2964.04,1.81410858329273e-06,2.09802564494871e-05,3.62721422728683e-06
2971,2.20624798778933e-06,2.2041782312904e-05,2.46185090119313e-06
2974.54,1.75477898699949e-06,2.0047732921891e-05,1.53943880630694e-06
2978,1.35334308944085e-06,1.85065431103007e-05,1.19341099483824e-06
2983.54,1.80770274526081e-06,2.10677776545639e-05,2.70266268016811e-06
2990,1.07721178779458e-06,1.78505029152452e-05,1.26420895269794e-06
2994.04,1.90509663965577e-06,2.10174951298231e-05,1.24891047302062e-06
2998,1.03892898289837e-06,1.76140722112977e-05,6.35771302851663e-07
3002,1.39001798527946e-06,1.94193310353667e-05,1.42047217442812e-06
3004.96,1.6640380783877e-06,2.05847113271279e-05,1.53879220376273e-06
3013.54,1.55461679041109e-06,2.05564780000022e-05,1.7962824866725e-06
3018,2.61058461046259e-06,2.45018574881244e-05,1.47039742758018e-06
3022,3.02942975131978e-06,2.64987789004844e-05,2.03608960417573e-06
3024.04,4.59152496985382e-06,3.21023096542178e-05,1.29500135222488e-06
3028,2.1716281487371e-06,2.33059398936635e-05,1.74953053520922e-06
3031,1.89328769712602e-06,2.21466573690013e-05,1.35954644176797e-06
3032,3.04689155589002e-06,2.6726335955809e-05,1.67782296650718e-06
3034.53,2.05115658132948e-06,2.25429131578262e-05,7.37785236792373e-07
3041,1.46368521869574e-06,2.05169084326279e-05,7.7172594702846e-07
3043.99,2.03635777069069e-06,2.33748196856686e-05,1.88936620314219e-06
3047,1.82650254409862e-06,2.24619301621277e-05,1.49098806871069e-06
3050,1.44564431606016e-06,2.08980520686522e-05,1.11556144755028e-06
3053,1.98943917415462e-06,2.29347592127195e-05,8.14599610752264e-07
3054.48,3.37859947190783e-06,2.84920643243594e-05,1.09108794742335e-06
3058,2.29770980225543e-06,2.4554297639263e-05,1.32598087608947e-06
3062,2.11791589117159e-06,2.36901702617399e-05,7.45211970778213e-07
3064.54,2.23882684868589e-06,2.42027060599268e-05,6.64214593969481e-07
3070,2.35555484843988e-06,2.48272700158298e-05,6.36053366428793e-07
3073.54,3.30426885323751e-06,2.88348368200221e-05,9.66256184614314e-07
3077,2.41334708021304e-06,2.52728638129975e-05,5.96846529207683e-07
3079,3.34286349684546e-06,2.91337434647466e-05,8.61097060298288e-07
3082,3.32300928938452e-06,2.91453657468045e-05,8.18895171813832e-07
3083,2.65723137640196e-06,2.65849581906642e-05,8.69569377990431e-07
3084.03,3.26060974807618e-06,2.91346677338732e-05,1.12312967500652e-06
3088,2.77651710695018e-06,2.7141116568691e-05,6.90689430187038e-07
3094.97,3.02857446239785e-06,2.83682091300712e-05,6.38725591747469e-07
3098,2.43130417648693e-06,2.61476207878574e-05,7.24414987235068e-07
3103.655,3.26686585774758e-06,2.9581726297375e-05,5.16354958677686e-07
3104,3.11237789539337e-06,2.89277509485529e-05,4.23714426495983e-07
3107,3.02238259985222e-06,2.86253127800258e-05,3.18740756850805e-07
3114.04,3.20914054534283e-06,2.96451276300449e-05,3.17383106501081e-07
3118,2.75215901206345e-06,2.79436241880272e-05,2.99484558503697e-07
3118.605,2.97233930101209e-06,2.86955232123221e-05,0
3121,3.13041168486351e-06,2.9660053809768e-05,4.33074560501232e-07
3124.31,2.60616936231857e-06,2.76246446872214e-05,3.63115279562651e-07
3128,2.10893320908638e-06,2.59599550593958e-05,7.68059120525767e-07
3133.52,4.00274960762056e-06,3.50079895172111e-05,2.81811929099608e-06
3137,2.70320988495594e-06,2.94664817056142e-05,2.13409302456774e-06
3144,2.01255560202748e-06,2.74451410849582e-05,3.13001947314775e-06
3144.03,2.80742385210807e-06,3.18031281573331e-05,5.12093777677488e-06
3149,1.52181123606897e-06,2.51309490241517e-05,2.25525420554313e-06
3152,1.31254548351193e-06,2.50652879280995e-05,3.51272927772476e-06
3154.47,2.67283720021697e-06,3.09617851954289e-05,3.82008453445407e-06
3158,1.32984010536525e-06,2.49478194992778e-05,2.76901813668801e-06
3161,1.01413151640431e-06,2.32949106481226e-05,1.9558288438214e-06
3169,1.56789818684646e-06,2.59295035038641e-05,2.00922647402934e-06
3174.03,1.96715674415529e-06,2.8584176841975e-05,3.42272868304516e-06
3184.52,2.73833030555408e-06,3.28366163411477e-05,4.43914938087045e-06
3191,1.63121809952434e-06,2.78469790901502e-05,3.43835500521818e-06
3193.52,2.80455414023766e-06,3.27922910542212e-05,3.17015631963445e-06
3202,2.03419709378463e-06,2.97701598668077e-05,3.00700560739085e-06
3204.03,3.96200362380163e-06,3.68270237337335e-05,7.2387730953883e-07
3208,1.67168091745722e-06,2.75150416180825e-05,1.34516119933433e-06
3211,1.76015233502264e-06,2.80019498729926e-05,1.31808309592982e-06
3214.5,4.66833784264377e-06,4.04279225575495e-05,8.24128255131851e-07
3218,1.12262104389881e-06,2.65127366803101e-05,3.03782472569317e-06
3221,1.07804457611974e-06,2.56882199841769e-05,1.73074210927143e-06
3223.03,3.37078332276726e-06,3.50366331759556e-05,5.1881051788462e-07
3230,1.76604086312935e-06,2.90014239198779e-05,1.6466871632866e-06
3233,1.70680945091597e-06,2.88349120013298e-05,1.5888641299749e-06
3234.03,2.14881893214955e-06,3.02420367135879e-05,6.01500365256786e-07
3251,1.90124942728739e-06,3.06056698247406e-05,1.83425944207824e-06
3253.53,2.96717558320097e-06,3.55817829869459e-05,2.06106958508448e-06
3257,1.28172471605091e-06,2.75349820209604e-05,8.52396130087722e-07
3260,1.49916758229712e-06,2.85364174668109e-05,6.9274814543198e-07
3263,2.67763964781031e-06,3.4299991541413e-05,1.31803610265333e-06
3264.03,3.22445594500178e-06,3.66099996041696e-05,1.00771829828623e-06
3271,2.7206487058791e-06,3.46385328377271e-05,9.29438096829898e-07
3274.53,2.88257489482877e-06,3.54143565411523e-05,7.26561450311646e-07
3278,2.74537628501301e-06,3.48786506172005e-05,5.87314049586777e-07
3281,2.72767763381704e-06,3.49176762014117e-05,5.46598959855925e-07
3284,2.61694390771577e-06,3.44965276772787e-05,4.41483775268247e-07
3284.51,3.03102779586193e-06,3.6529016287932e-05,6.58825029221401e-07
3288,3.16374863751642e-06,3.72925990882344e-05,6.39100322293081e-07
3289.675,3.02504723803572e-06,3.67857392808405e-05,7.07102805567638e-07
3293.61,3.01817611606619e-06,3.70590191743362e-05,8.88243314506307e-07
3297,2.62440772190078e-06,3.51600514688019e-05,4.45688382651754e-07
3299.675,2.64360703166654e-06,3.55790740348746e-05,7.76932840662285e-07
3303,2.69993940732834e-06,3.61717143920512e-05,1.05757068290561e-06
3304.08,2.41666511045888e-06,3.48897291701852e-05,1.00244987855362e-06
3308,2.51195460057045e-06,3.53612160743176e-05,7.40010899497252e-07
3312,2.20160618623019e-06,3.4002721093731e-05,5.40433813781626e-07
3314.51,3.18338824836454e-06,3.88473872892183e-05,8.30076439229402e-07
3318,2.11988585322934e-06,3.40298022906956e-05,7.26877838264745e-07
3319.315,7.49008228133267e-07,2.84614184603965e-05,1.92791430876403e-06
3321,2.53489767432708e-07,2.76710429998231e-05,4.27298112994669e-06
3323.52,1.89119849091097e-06,3.58538254432403e-05,4.99024060023129e-06
3327,2.56906704267232e-06,3.68115324144128e-05,1.12079299911841e-06
3329.595,2.83880242513693e-06,3.80696906312608e-05,8.9984768566835e-07
3330,1.94650490387138e-06,3.3820981654202e-05,7.47468479395256e-07
3333,2.4837124913565e-06,3.6606157542486e-05,9.3927171184385e-07
3334.46,3.18654578493403e-06,4.00676341080617e-05,1.08097933065538e-06
3337,2.35215551274681e-06,3.61026469649533e-05,7.94573096776013e-07
3338.52,2.45947951068463e-06,3.67349147541637e-05,8.74642484415987e-07
3341,2.45335777613041e-06,3.66937698763976e-05,6.49592418131047e-07
3341.47,2.52611920778739e-06,3.6657333417569e-05,0
3343.03,1.88412569972989e-06,3.61443248382452e-05,3.91797591177051e-06
3344.52,1.81816707839363e-06,3.57714663546671e-05,3.69762784531633e-06
3346.02,2.01553422006571e-06,3.6670684297588e-05,3.51961354469297e-06